TimeSec,mean_VM_GE_left,var_VM_GE_left,mean_GE_leftX,mean_GE_leftY,mean_GE_leftZ,Var_GE_leftX,Var_GE_leftY,Var_GE_leftZ,mean_ABS_GE_leftX,mean_ABS_GE_leftY,mean_ABS_GE_leftZ,var_ABS_GE_leftX,var_ABS_GE_leftY,var_ABS_GE_leftZ
30,1.006684119,0.001035705,-0.550445333,0.600223833,-0.5820875,0.007678488,0.000354919,0.004349552,0.550445333,0.600223833,0.5820875,0.007678488,0.000354919,0.004349552
60,1.005943428,0.000118163,-0.559037,0.586643833,-0.595706333,0.000249522,7.40E-05,0.000178119,0.559037,0.586643833,0.595706333,0.000249522,7.40E-05,0.000178119
90,1.005816655,0.000114588,-0.552537,0.585005333,-0.603089167,0.000228988,7.36E-05,0.000234961,0.552537,0.585005333,0.603089167,0.000228988,7.36E-05,0.000234961
120,1.006692289,0.00011473,-0.5452115,0.587220667,-0.609038833,0.000243621,7.50E-05,0.000214166,0.5452115,0.587220667,0.609038833,0.000243621,7.50E-05,0.000214166
150,1.006253277,0.000120987,-0.552017,0.585555833,-0.603807,0.00019764,8.27E-05,0.000205582,0.552017,0.585555833,0.603807,0.00019764,8.27E-05,0.000205582
180,1.005953664,0.000118043,-0.5523615,0.584621667,-0.603943167,0.000189899,6.93E-05,0.000169063,0.5523615,0.584621667,0.603943167,0.000189899,6.93E-05,0.000169063
210,1.005212896,0.000120613,-0.5554035,0.586254833,-0.598224833,0.000247291,6.55E-05,0.000220741,0.5554035,0.586254833,0.598224833,0.000247291,6.55E-05,0.000220741
240,1.006415836,0.000155203,-0.5545515,0.5861595,-0.5998065,0.001023929,9.99E-05,0.001029403,0.5545515,0.5861595,0.5998065,0.001023929,9.99E-05,0.001029403
270,1.00891354,0.001359344,-0.5228275,0.6081,-0.5988395,0.011319031,0.000642102,0.005588773,0.5228275,0.6081,0.5988395,0.011319031,0.000642102,0.005588773
300,1.008190358,0.000250027,-0.5219565,0.610403667,-0.6052255,0.003303676,0.000229734,0.00184383,0.5219565,0.610403667,0.6052255,0.003303676,0.000229734,0.00184383
330,1.06776918,0.19891585,-0.339591333,-0.046713667,-0.448395833,0.146900652,0.754551366,0.120403156,0.423967333,0.661121667,0.487093167,0.08236707,0.318925632,0.084141791
360,1.010510363,0.004945005,-0.600156667,0.049983,-0.624765833,0.018356741,0.149886344,0.105262043,0.600156667,0.362321667,0.682375833,0.018356741,0.020892665,0.029831894
390,1.009950016,0.000212471,-0.6169065,-0.509827,-0.615632667,0.000230537,0.000217856,0.000263164,0.6169065,0.509827,0.615632667,0.000230537,0.000217856,0.000263164
420,1.012912466,0.000974059,-0.3191385,-0.230153,-0.8736165,0.046272875,0.033083735,0.029763782,0.3191385,0.232604333,0.8736165,0.046272875,0.031947469,0.029763782
450,1.01365421,0.000148225,-0.322961333,-0.095518,-0.954559333,0.002504182,0.000216849,0.000315633,0.323864667,0.095518,0.954559333,0.001918907,0.000216849,0.000315633
480,1.015008668,0.000148616,-0.254457833,-0.115787833,-0.974192667,0.002065691,0.000871851,0.000251776,0.254457833,0.115787833,0.974192667,0.002065691,0.000871851,0.000251776
510,1.015751816,0.000136324,-0.2609835,-0.085513167,-0.977529833,0.000609345,9.45E-05,0.00019601,0.2609835,0.085513167,0.977529833,0.000609345,9.45E-05,0.00019601
540,1.01844386,0.000145275,-0.223771,-0.09696,-0.988665833,0.00019945,8.55E-05,0.000153856,0.223771,0.09696,0.988665833,0.00019945,8.55E-05,0.000153856
570,1.019961273,0.000127632,-0.1870915,-0.114169667,-0.995855,0.000447003,9.18E-05,0.000145622,0.1870915,0.114169667,0.995855,0.000447003,9.18E-05,0.000145622
600,1.016055767,0.0013911,-0.2597665,-0.040873167,-0.848992167,0.068157632,0.031485285,0.144585283,0.260669833,0.159473167,0.8950055,0.06768672,0.007684542,0.064204169
